team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,,,,,,,,,BIG,Spirit,Vertigo,3 - 13,L
,,,,,,,,,,,,,,BIG,Spirit,Anubis,11 - 13,L
,,,,,,,,,,,,,,BIG,Young Ninjas,Overpass,9 - 13,L
,,,,,,,,,,,,,,BIG,Young Ninjas,Vertigo,2 - 13,L
,,,,,,,,,,,,,,BIG,BLEED,Vertigo,16 - 19,L
,,,,,,,,,,,,,,BIG,BLEED,Inferno,10 - 13,L
,,,,,,,,,,,,,,BIG,HEROIC,Anubis,7 - 13,L
,,,,,,,,,,,,,,BIG,HEROIC,Vertigo,13 - 7,W
,,,,,,,,,,,,,,BIG,HEROIC,Nuke,8 - 13,L
,,,,,,,,,,,,,,BIG,Astralis,Ancient,14 - 16,L
,,,,,,,,,,,,,,BIG,Astralis,Overpass,9 - 13,L
,,,,,,,,,,,,,,BIG,Astralis,Vertigo,16 - 12,W
,,,,,,,,,,,,,,BIG,Cloud9,Anubis,13 - 10,W
,,,,,,,,,,,,,,BIG,Cloud9,Ancient,13 - 9,W
,,,,,,,,,,,,,,BIG,Virtus.pro,Vertigo,8 - 13,L
,,,,,,,,,,,,,,BIG,Virtus.pro,Overpass,5 - 13,L
,,,,,,,,,,,,,,BIG,fnatic,Ancient,8 - 13,L
,,,,,,,,,,,,,,BIG,Permitta,Overpass,16 - 13,W
,,,,,,,,,,,,,,BIG,Aurora,Ancient,13 - 11,W
,,,,,,,,,,,,,,BIG,Aurora,Anubis,13 - 7,W
,,,,,,,,,,,,,,BIG,Aurora,Ancient,13 - 8,W
,,,,,,,,,,,,,,BIG,Aurora,Inferno,13 - 9,W
,,,,,,,,,,,,,,BIG,9 Pandas,Ancient,13 - 5,W
,,,,,,,,,,,,,,BIG,9 Pandas,Overpass,13 - 8,W
,,,,,,,,,,,,,,BIG,Zero Tenacity,Vertigo,13 - 7,W
,,,,,,,,,,,,,,BIG,Zero Tenacity,Anubis,13 - 11,W
,,,,,,,,,,,,,,BIG,paiN,Anubis,9 - 13,L
,,,,,,,,,,,,,,BIG,paiN,Vertigo,11 - 13,L
,,,,,,,,,,,,,,BIG,SINNERS,Anubis,13 - 3,W
,,,,,,,,,,,,,,BIG,SINNERS,Overpass,13 - 8,W
,,,,,,,,,,,,,,BIG,SINNERS,Nuke,20 - 22,L
,,,,,,,,,,,,,,BIG,00NATION,Overpass,13 - 10,W
,,,,,,,,,,,,,,BIG,00NATION,Nuke,13 - 10,W
,,,,,,,,,,,,,,BIG,00NATION,Ancient,11 - 13,L
,,,,,,,,,,,,,,BIG,TSM,Nuke,13 - 6,W
,,,,,,,,,,,,,,BIG,TSM,Overpass,8 - 13,L
,,,,,,,,,,,,,,BIG,TSM,Vertigo,13 - 5,W
,,,,,,,,,,,,,,BIG,Cloud9,Nuke,9 - 13,L
,,,,,,,,,,,,,,BIG,Cloud9,Inferno,6 - 13,L
,,,,,,,,,,,,,,BIG,HEROIC,Vertigo,9 - 13,L
,,,,,,,,,,,,,,BIG,HEROIC,Nuke,7 - 13,L
,,,,,,,,,,,,,,BIG,HEROIC,Ancient,13 - 9,W
,,,,,,,,,,,,,,BIG,Aurora,Nuke,10 - 13,L
,,,,,,,,,,,,,,BIG,Aurora,Ancient,14 - 16,L
,,,,,,,,,,,,,,BIG,Apeks,Anubis,16 - 13,W
,,,,,,,,,,,,,,BIG,Apeks,Vertigo,13 - 7,W
,,,,,,,,,,,,,,BIG,Anonymo,Nuke,13 - 1,W
,,,,,,,,,,,,,,BIG,Anonymo,Vertigo,13 - 10,W
,,,,,,,,,,,,,,BIG,9 Pandas,Overpass,7 - 13,L
,,,,,,,,,,,,,,BIG,9 Pandas,Ancient,13 - 8,W
,,,,,,,,,,,,,,BIG,9 Pandas,Nuke,17 - 19,L
,,,,,,,,,,,,,,BIG,Gods Reign,Anubis,13 - 2,W
,,,,,,,,,,,,,,BIG,EYEBALLERS,Overpass,13 - 6,W
,,,,,,,,,,,,,,BIG,GamerLegion,Ancient,13 - 6,W
,,,,,,,,,,,,,,BIG,AMKAL,Vertigo,13 - 8,W
,,,,,,,,,,,,,,BIG,Apeks,Ancient,14 - 16,L
,,,,,,,,,,,,,,BIG,ENCE,Ancient,13 - 9,W
,,,,,,,,,,,,,,BIG,Virtus.pro,Anubis,6 - 13,L
,,,,,,,,,,,,,,BIG,HEROIC,Anubis,16 - 14,W
,,,,,,,,,,,,,,BIG,Nexus,Ancient,14 - 16,L
,,,,,,,,,,,,,,BIG,BetBoom,Overpass,9 - 13,L
,,,,,,,,,,,,,,BIG,9INE,Vertigo,13 - 7,W
,,,,,,,,,,,,,,BIG,Sprout,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BIG,Aurora,Nuke,13 - 5,W
,,,,,,,,,,,,,,BIG,Guild Eagles,Ancient,13 - 9,W
,,,,,,,,,,,,,,BIG,MIBR,Ancient,13 - 16,L
,,,,,,,,,,,,,,BIG,Into the Breach,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BIG,Preasy,Ancient,5 - 13,L
,,,,,,,,,,,,,,BIG,Eternal Fire,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BIG,Apeks,Overpass,8 - 13,L
,,,,,,,,,,,,,,BIG,FURIA,Vertigo,13 - 5,W
,,,,,,,,,,,,,,BIG,FURIA,Ancient,13 - 6,W
,,,,,,,,,,,,,,BIG,9INE,Ancient,13 - 0,W
,,,,,,,,,,,,,,BIG,Spirit,Overpass,13 - 6,W
,,,,,,,,,,,,,,BIG,Sprout,Ancient,13 - 10,W
,,,,,,,,,,,,,,BIG,Aurora Young Blud,Ancient,13 - 5,W
,,,,,,,,,,,,,,BIG,Gods Reign,Anubis,13 - 2,W
,,,,,,,,,,,,,,BIG,Gods Reign,Ancient,13 - 2,W
,,,,,,,,,,,,,,BIG,EYEBALLERS,Overpass,13 - 6,W
,,,,,,,,,,,,,,BIG,EYEBALLERS,Anubis,13 - 8,W
,,,,,,,,,,,,,,BIG,GamerLegion,Ancient,13 - 6,W
,,,,,,,,,,,,,,BIG,GamerLegion,Overpass,7 - 13,L
,,,,,,,,,,,,,,BIG,GamerLegion,Vertigo,13 - 7,W
,,,,,,,,,,,,,,BIG,AMKAL,Vertigo,13 - 8,W
,,,,,,,,,,,,,,BIG,AMKAL,Ancient,13 - 10,W
,,,,,,,,,,,,,,BIG,AMKAL,Overpass,9 - 13,L
,,,,,,,,,,,,,,BIG,Apeks,Ancient,14 - 16,L
,,,,,,,,,,,,,,BIG,Apeks,Vertigo,10 - 13,L
,,,,,,,,,,,,,,BIG,Apeks,Inferno,13 - 7,W
,,,,,,,,,,,,,,BIG,ENCE,Ancient,13 - 9,W
,,,,,,,,,,,,,,BIG,Virtus.pro,Anubis,6 - 13,L
,,,,,,,,,,,,,,BIG,Virtus.pro,Overpass,10 - 13,L
,,,,,,,,,,,,,,BIG,HEROIC,Anubis,16 - 14,W
,,,,,,,,,,,,,,BIG,HEROIC,Nuke,13 - 9,W
,,,,,,,,,,,,,,BIG,HEROIC,Vertigo,12 - 16,L
,,,,,,,,,,,,,,BIG,Nexus,Ancient,14 - 16,L
,,,,,,,,,,,,,,BIG,Nexus,Vertigo,5 - 13,L
,,,,,,,,,,,,,,BIG,BetBoom,Overpass,9 - 13,L
,,,,,,,,,,,,,,BIG,9INE,Vertigo,13 - 7,W
,,,,,,,,,,,,,,BIG,9INE,Overpass,13 - 11,W
,,,,,,,,,,,,,,BIG,Sprout,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BIG,Sprout,Inferno,13 - 5,W
,,,,,,,,,,,,,,BIG,Aurora,Nuke,13 - 5,W
,,,,,,,,,,,,,,BIG,Aurora,Ancient,13 - 8,W
,,,,,,,,,,,,,,BIG,Guild Eagles,Ancient,13 - 9,W
,,,,,,,,,,,,,,BIG,Guild Eagles,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BIG,MIBR,Ancient,13 - 16,L
,,,,,,,,,,,,,,BIG,MIBR,Anubis,10 - 13,L
,,,,,,,,,,,,,,BIG,MIBR,Vertigo,13 - 5,W
,,,,,,,,,,,,,,BIG,Into the Breach,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BIG,Into the Breach,Anubis,13 - 11,W
,,,,,,,,,,,,,,BIG,Preasy,Ancient,5 - 13,L
,,,,,,,,,,,,,,BIG,Preasy,Inferno,13 - 6,W
,,,,,,,,,,,,,,BIG,Preasy,Vertigo,9 - 13,L
,,,,,,,,,,,,,,BIG,Eternal Fire,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BIG,Eternal Fire,Anubis,16 - 14,W
,,,,,,,,,,,,,,BIG,Apeks,Overpass,8 - 13,L
,,,,,,,,,,,,,,BIG,Apeks,Vertigo,16 - 12,W
,,,,,,,,,,,,,,BIG,Apeks,Inferno,5 - 13,L
,,,,,,,,,,,,,,BIG,FURIA,Vertigo,13 - 5,W
,,,,,,,,,,,,,,BIG,FURIA,Overpass,14 - 16,L
,,,,,,,,,,,,,,BIG,FURIA,Ancient,13 - 8,W
,,,,,,,,,,,,,,BIG,FURIA,Ancient,13 - 6,W
,,,,,,,,,,,,,,BIG,FURIA,Nuke,13 - 1,W
,,,,,,,,,,,,,,BIG,9INE,Ancient,13 - 0,W
,,,,,,,,,,,,,,BIG,9INE,Anubis,20 - 22,L
,,,,,,,,,,,,,,BIG,9INE,Vertigo,13 - 11,W
,,,,,,,,,,,,,,BIG,Spirit,Overpass,13 - 6,W
,,,,,,,,,,,,,,BIG,Spirit,Vertigo,13 - 10,W
,,,,,,,,,,,,,,BIG,Sprout,Ancient,13 - 10,W
,,,,,,,,,,,,,,BIG,Sprout,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BIG,Aurora Young Blud,Ancient,13 - 5,W
,,,,,,,,,,,,,,BIG,Aurora Young Blud,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Virtus.pro,G2,Overpass,10 - 13,L
,,,,,,,,,,,,,,Virtus.pro,FlyQuest,Ancient,13 - 7,W
,,,,,,,,,,,,,,Virtus.pro,G2,Anubis,6 - 13,L
,,,,,,,,,,,,,,Virtus.pro,HEROIC,Ancient,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,Imperial,Inferno,6 - 13,L
,,,,,,,,,,,,,,Virtus.pro,Apeks,Mirage,13 - 11,W
,,,,,,,,,,,,,,Virtus.pro,Natus Vincere,Anubis,13 - 9,W
,,,,,,,,,,,,,,Virtus.pro,SAW,Ancient,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,GamerLegion,Overpass,9 - 13,L
,,,,,,,,,,,,,,Virtus.pro,BIG,Anubis,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,BIG,Vertigo,13 - 8,W
,,,,,,,,,,,,,,Virtus.pro,Natus Vincere,Anubis,12 - 16,L
,,,,,,,,,,,,,,Virtus.pro,SINNERS,Ancient,13 - 9,W
,,,,,,,,,,,,,,Virtus.pro,TheMongolz,Inferno,13 - 8,W
,,,,,,,,,,,,,,Virtus.pro,M80,Ancient,13 - 8,W
,,,,,,,,,,,,,,Virtus.pro,BetBoom,Mirage,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,Astralis,Overpass,13 - 7,W
,,,,,,,,,,,,,,Virtus.pro,GamerLegion,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Virtus.pro,3DMAX,Ancient,13 - 9,W
,,,,,,,,,,,,,,Virtus.pro,Monte,Mirage,19 - 16,W
,,,,,,,,,,,,,,Virtus.pro,Monte,Mirage,13 - 4,W
,,,,,,,,,,,,,,Virtus.pro,OG,Overpass,13 - 11,W
,,,,,,,,,,,,,,Virtus.pro,Cloud9,Anubis,8 - 13,L
,,,,,,,,,,,,,,Virtus.pro,Movistar Riders,Overpass,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,Spirit,Mirage,13 - 9,W
,,,,,,,,,,,,,,Virtus.pro,G2,Overpass,10 - 13,L
,,,,,,,,,,,,,,Virtus.pro,G2,Anubis,6 - 13,L
,,,,,,,,,,,,,,Virtus.pro,FlyQuest,Ancient,13 - 7,W
,,,,,,,,,,,,,,Virtus.pro,FlyQuest,Vertigo,11 - 13,L
,,,,,,,,,,,,,,Virtus.pro,FlyQuest,Inferno,16 - 14,W
,,,,,,,,,,,,,,Virtus.pro,G2,Anubis,6 - 13,L
,,,,,,,,,,,,,,Virtus.pro,G2,Inferno,11 - 13,L
,,,,,,,,,,,,,,Virtus.pro,G2,Overpass,16 - 14,W
,,,,,,,,,,,,,,Virtus.pro,HEROIC,Ancient,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,Imperial,Inferno,6 - 13,L
,,,,,,,,,,,,,,Virtus.pro,Apeks,Mirage,13 - 11,W
,,,,,,,,,,,,,,Virtus.pro,Apeks,Anubis,11 - 13,L
,,,,,,,,,,,,,,Virtus.pro,Apeks,Overpass,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,Natus Vincere,Anubis,13 - 9,W
,,,,,,,,,,,,,,Virtus.pro,Natus Vincere,Ancient,13 - 9,W
,,,,,,,,,,,,,,Virtus.pro,SAW,Ancient,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,GamerLegion,Overpass,9 - 13,L
,,,,,,,,,,,,,,Virtus.pro,GamerLegion,Inferno,13 - 5,W
,,,,,,,,,,,,,,Virtus.pro,GamerLegion,Vertigo,3 - 13,L
,,,,,,,,,,,,,,Virtus.pro,BIG,Anubis,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,BIG,Overpass,13 - 10,W
,,,,,,,,,,,,,,Virtus.pro,BIG,Vertigo,13 - 8,W
,,,,,,,,,,,,,,Virtus.pro,BIG,Overpass,13 - 5,W
,,,,,,,,,,,,,,Virtus.pro,Natus Vincere,Anubis,12 - 16,L
,,,,,,,,,,,,,,Virtus.pro,Natus Vincere,Overpass,16 - 19,L
,,,,,,,,,,,,,,Virtus.pro,SINNERS,Ancient,13 - 9,W
,,,,,,,,,,,,,,Virtus.pro,TheMongolz,Inferno,13 - 8,W
,,,,,,,,,,,,,,Virtus.pro,TheMongolz,Overpass,13 - 11,W
,,,,,,,,,,,,,,Virtus.pro,M80,Ancient,13 - 8,W
,,,,,,,,,,,,,,Virtus.pro,BetBoom,Mirage,13 - 6,W
,,,,,,,,,,,,,,Virtus.pro,BetBoom,Overpass,13 - 5,W
,,,,,,,,,,,,,,Virtus.pro,Astralis,Overpass,13 - 7,W
,,,,,,,,,,,,,,Virtus.pro,Astralis,Mirage,10 - 13,L
,,,,,,,,,,,,,,Virtus.pro,Astralis,Inferno,13 - 9,W
,,,,,,,,,,,,,,Virtus.pro,GamerLegion,Vertigo,13 - 10,W
